PI Name,Dept/Division list,Title list,Year list
"Lie, John","['IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies']","['Strengthening Korean Studies at UC Berkeley', 'Strengthening Korean Studies at UC Berkeley', 'Strengthening Korean Studies at UC Berkeley', 'Strengthening Korean Studies at UC Berkeley', 'Strengthening Korean Studies at UC Berkeley', 'Strengthening Korean Studies at UC Berkeley']","[2007, 2007, 2007, 2007, 2007, 2007]"
"Lieu, Dennis Kenmon","['ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization']","['NRA/ Graduate Student Researchers Program (GSRP)', 'NRA/ Graduate Student Researchers Program (GSRP)', 'NRA/ Graduate Student Researchers Program (GSRP)']","[2008, 2008, 2008]"
"Lin, Liwei",['ERSO Engineering Research Support Organization'],['Workshop: Solid-State Sensors and Actuators Workshop (Hilton Head 2012)'],[2012]
"Lincoln, James R",['Haas Business (Division)'],['Social Sector Solutions'],[2007]
"Lindow, John","['Scandinavian', 'Scandinavian', 'Scandinavian']","['Teaching of Finnish Language and Culture at Berkeley', 'The Teaching of Finnish Language and Culture', 'Teaching of Finnish Language and Culture at Berkeley']","[2012, 2014, 2012]"
"Little, Judith Warren","['Education', 'Education', 'Education', 'Graduate Education', 'Education', 'Education']","['California Writing Project Statewide Office NCLB 8A', 'California Writing Project Statewide Office', 'California Writing Project Statewide Office NCLB 8A', 'California Writing Project Supplemental Funding', ""CWP's Improving Students' Analytical Writing"", 'California Subject Matter Projects - No Child Left Behind Cycle 11 Supplement (CSMP NCLB11A)']","[2011, 2013, 2012, 2013, 2010, 2015]"
"Liu, Tsu-Jae King","['ERSO Engineering Research Support Organization', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization']","['REU Site: A Partnership of NSF-funded Centers to Advance California Community College Students in Science and Engineering', 'UCB-HBCU Pathways to the Science and Engineering Doctorate', 'Research FuSE Program', 'Research FuSE Program', 'Research FuSE Program', 'Research FuSE Program', 'Research FuSE Program', 'Research FuSE Program', 'Research FuSE Program', 'REU Site: A Partnership of NSF-funded Centers to Advance California Community College Students in Science and Engineering', 'REU Site: A Partnership of NSF-funded Centers to Advance California Community College Students in Science and Engineering']","[2012, 2014, 2009, 2009, 2009, 2009, 2009, 2009, 2009, 2012, 2012]"
"Lott, John W",['Mathematics'],['RTG: Geometry and Topology'],[2014]
"Lovell, Margaretta M",['Art History'],['Graduate Study in Curatorial Preparedness and Object-Based Learnign Initiative'],[2012]
"Lucey, Michael",['French'],"['Mellon Dissertation Seminar in the Humanities: How Do Novels and Other Books Talk to Each Other, and What Do They Talk About?']",[2010]
