PI Name,Dept/Division list,Title list,Year list
"O'Hare, Michael",['Public Policy'],['Pay-for-Performance for Long-Term Care'],[2008]
"Organista, Kurt C","['Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare']","['Integrated Behavioral Health in Primary Care: Toward Reducing Mexican Immigrant Health Disparities?', 'Food Sovereignty Among Mexican Campesinos: Food Choice in the Context of Migration and Remittances', 'Integrated Behavioral Health in Primary Care: A Model for Reducing Latino Mental Health Disparities?', 'Integrated Behavioral Health in Primary Care:  Toward Reducing Mexican Im/migrant Mental Health Disparities?', 'Food Sovereignty Among Mexican Campesinos: Food Choice in the Context of Migration and Remittances']","[2012, 2007, 2012, 2011, 2007]"
"Oxendine, Jeffrey","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['California-Pacific Public Health Training Center', 'Developing a Plan for Workforce Development to Accelerate Accreditation for the California Department of Public Health', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'Community Health Worker Training Institute', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'Health Careers Opportunity Program (HCOP) Summer Research Program', 'Digital Media Literacy for Public Health Professionals', 'Digital Media Literacy for Public Health Professionals', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'Developing a Plan for Workforce Development to Accelerate Accreditation for the California Department of Public Health', 'Developing a Plan for Workforce Development to Accelerate Accreditation for the California Department of Public Health', 'Community Health Worker Training Institute', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'Digital Media Literacy for Public Health Professionals', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'San Francisco Bay Area Comprehensive Health Careers Opportunity Program (HCOP)', 'California-Pacific Public Health Training Center', 'California-Pacific Public Health Training Center']","[2010, 2013, 2010, 2010, 2010, 2013, 2010, 2010, 2010, 2013, 2011, 2011, 2010, 2013, 2013, 2013, 2010, 2011, 2010, 2010, 2010, 2010]"
"Padian, Nancy S","['Public Health', 'Public Health', 'Public Health']","['Economic Status, Mental Health and HIV in Adolescent Orphan Girls in Zimbabwe', 'Economic Status, Mental Health and HIV in Adolescent Orphan Girls in Zimbabwe', 'Economic Status, Mental Health and HIV in Adolescent Orphan Girls in Zimbabwe']","[2010, 2010, 2010]"
"Papadimitriou, Christos H",['ERSO Engineering Research Support Organization'],['Advance-AGT--Algorithmic Game Theory: Foundations and New Directions'],[2013]
"Parikh, Tapan S","['iSchool Information', 'iSchool Information']","['Information Innovation and International Development (I3D)', 'Information Innovation and International Development (I3D)']","[2009, 2009]"
"Pauly, Markus","['Plant & Microbial Biology Department', 'Plant & Microbial Biology Department']","['Grasswall: Maize Candy-Leaf Mutants: A Tool For the Study of Grass-Specific Cell Wall Biology with Potential Applications in Renewable Energy Production and Cereal Crop Pathogen Protection', 'Grasswall: Maize Candy-Leaf Mutants: A Tool For the Study of Grass-Specific Cell Wall Biology with Potential Applications in Renewable Energy Production and Cereal Crop Pathogen Protection']","[2014, 2014]"
"Pearson, P David","['Graduate Education', 'Graduate Education', 'Graduate Education', 'Graduate Education', 'Education', 'Graduate Education', 'Graduate Education', 'Graduate Education', 'Graduate Education', 'Graduate Education', 'Education', 'Education', 'Graduate Education', 'Education', 'Graduate Education', 'Education', 'Graduate Education', 'Education', 'Education', 'Graduate Education', 'Graduate Education', 'Graduate Education', 'Education', 'Graduate Education', 'Graduate Education', 'Graduate Education', 'Graduate Education', 'Graduate Education']","['California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program, Supplement', 'California Writing Project Statewide Office', 'California Reading and Literacy Project', 'American-Israeli Co-Operative Enterprise - Israel Scholar Development', 'Bay Area Writing Project/CWP No Child Left Behind', 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program Supplement Regional Collaboratives', 'Planning and Development of UC Interdisciplinary Studies in Early Childhood Programs', 'American-Israel Co-operative Enterprise - Israel Scholar Development', 'UC Interdisciplinary Studies in Early Childhood Programs', 'California Writing Project Statewide Office', 'California Reading and Literature Project San Francisco Bay Area Site', 'California Subject Matter Project - No Child Left Behind Cycle 12 (CSMP NCLB12)', 'California Subject Matter Projects (CSMP) Regional Collaboratives', ""Ninth Retreat of Deans/Directors Participating in the Spencer Foundation's Research Training Grant Program"", 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program Supplement Regional Collaboratives', 'California Writing Project', 'Planning and Development of UC Interdisciplinary Studies in Early Childhood Programs', 'California Reading and Literature Project (CRLP)', 'California Reading and Literature Project (CRLP)', 'Bay Area Writing Project', 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program, Supplement', 'UC Interdisciplinary Studies in Early Childhood Programs', 'California Subject Matter Project - Strategic Plan', 'Bay Area Writing Project', 'American-Israeli Co-Operative Enterprise - Israel Scholar Development', 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program Supplement Regional Collaboratives', 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program, Supplement', 'California Subject Matter Projects (CSMP) No Child Left Behind (NCLB) Technical Assistance and Support Program, Supplement']","[2007, 2008, 2011, 2009, 2007, 2008, 2007, 2008, 2008, 2009, 2012, 2015, 2008, 2007, 2008, 2007, 2008, 2012, 2012, 2008, 2007, 2008, 2007, 2009, 2009, 2008, 2007, 2007]"
"Perlman, Daniel R","['Public Health', 'Public Health']","['Delaying the Age of Marriage and the Onset of Childbearing Through Girl-Child Education in Northern Nigeria', 'Delaying the Age of Marriage and the Onset of Childbearing Through Girl-Child Education in Northern Nigeria']","[2011, 2011]"
"Peterson, Per F",['Nuclear Engineering'],['Nuclear Engineering Faculty Development Project'],[2010]
"Picciotto, Joanna M.","['English', 'English']","['Union without End: The Physico-Theological Vision', 'Union withouth End: The Physico-Theological Vision']","[2013, 2013]"
"Pies, Cheri A","['SPH Divisional Rsrch and Cntrs', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health']","['Centers of Excellence in MCH', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Centers of Excellence in MCH', 'Centers of Excellence in MCH', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health', 'Training in Maternal and Child Health']","[2015, 2010, 2010, 2010, 2010, 2010, 2010, 2015, 2013, 2010, 2010, 2010, 2010, 2010]"
"Pines, Alexander","['Chemistry Department', 'Chemistry Department']","['eChem: Innovation in Online and Video Education in Chemistry', 'eChem: Innovation in Online and Video Education in Chemistry']","[2010, 2010]"
"Polse, Kenneth A","['Optometry', 'Optometry', 'Optometry', 'Optometry', 'Optometry', 'Optometry']","['Berkeley Clinical Scientist Development Program', 'Berkeley Clinical Scientist Development Program', 'Berkeley Clinical Scientist Development Program', 'Berkeley Clinical Scientist Development Program', 'Berkeley Clinical Scientist Development Program', 'Berkeley Clinical Scientist Development Program']","[2010, 2010, 2010, 2010, 2010, 2010]"
"Potts, Malcolm","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['Packard PRA Program', 'Packard PRA Program', 'Packard PRA Program', 'Packard PRA Program', 'Packard PRA Program']","[2012, 2012, 2012, 2012, 2012]"
"Poullard, Jonathan",['Dean of Students'],['Literacy Training Program for BUILD Tutors'],[2009]
"Power, Mary E",['IB Integrative Biology'],['Mapping the Future '],[2007]
"Quan, Katie","['IRLE Institute for Research on Labor and Employment', 'IRLE Institute for Research on Labor and Employment', 'IRLE Institute for Research on Labor and Employment', 'IRLE Institute for Research on Labor and Employment', 'IRLE Institute for Research on Labor and Employment', 'IRLE Institute for Research on Labor and Employment', 'IRLE Institute for Research on Labor and Employment']","['California Lead Organizer Institute', 'Kirke Wilson Labor Summer Internships Program', 'Kirke Wilson Labor Summer Internship Scholarship Awards', 'Kirke Wilson Labor Summer Internship Scholarship Awards', 'Kirke Wilson Labor Summer Internship Scholarship Awards', 'California Lead Organizer Institute', 'California Lead Organizer Institute']","[2007, 2013, 2009, 2009, 2009, 2007, 2007]"
"Rabe-Hesketh, Sophia",['Graduate Education'],['New Approaches for Estimating Generalized Linear Mixed Models with Crossed Random Effects'],[2011]
"Rasky, Susan",['Journalism'],['News 21'],[2008]
"Raulet, David","['MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology']","['Molecular Immunology and Tumor Biology', 'Molecular Immunology and Tumor Biology', 'Molecular Immunology and Tumor Biology', 'Molecular Immunology and Tumor Biology', 'Molecular Immunology and Tumor Biology', 'Molecular Immunology and Tumor Biology']","[2007, 2007, 2007, 2007, 2007, 2007]"
"Raymond, Kenneth N","['Chemistry', 'Chemistry', 'Chemistry', 'Chemistry']","['A Supramolecular Coordination Cluster as a Functional Monoterpene Synthase Mimic', 'A Supramolecular Coordination Cluster as a Functional Monoterpene Synthase Mimic', 'A Supramolecular Coordination Cluster as a Functional Monoterpene Synthase Mimic', 'A Supramolecular Coordination Cluster as a Functional Monoterpene Synthase Mimic']","[2008, 2008, 2008, 2008]"
"Reingold, Arthur L","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Center for Emerging & Neglected Diseases', 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health"", 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Center for Emerging & Neglected Diseases', 'Center for Emerging & Neglected Diseases', 'Center for Emerging & Neglected Diseases', 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health""]","['UCB/UCSF AIDS International Training and Research Program (AITRP)', 'HIV Implementation Science Research Training Program', 'UCB-UCSF-MU Research Training on TB and Other Pulmonary Complications of HIV', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB-UCSF-MU Research Training on TB and Other Pulmonary Complications of HIV', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'UCB-UCSF-MU Research Training on TB and Other Pulmonary Complications of HIV', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'Patient Protection and Affordable Care Act (ACA)', 'UCB-UCSF-MU Research Training on TB and Other Pulmonary Complications of HIV', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'UCB-UCSF-MU Research Training on TB and Other Pulmonary Complications of HIV', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB-UCSF-MU Research Training on TB and Other Pulmonary Complications of HIV', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'UCB/UCSF AIDS International Training and Research Program (AITRP)', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'Berkeley Minority Health/Global Health (MH/GH) Training Program', 'UCB/UCSF AIDS International Training and Research Program (AITRP)']","[2008, 2013, 2013, 2013, 2009, 2008, 2013, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2009, 2008, 2008, 2008, 2008, 2009, 2013, 2008, 2008, 2010, 2013, 2013, 2013, 2013, 2008, 2013, 2008, 2008, 2013, 2013, 2009, 2009, 2008]"
"Reinhard, Rachel B.","['History', 'History', 'History', 'History']","['California Subject Matter Projects - No Child Left Behind Cycle 12 (CSMP-NCLB12)', 'California Subject Matter Projects Request for Proposals: CSMP State Funds', 'California Subject Matter Projects Request for Proposals: No Child Left Behind 11', 'California Subject Matter Projects Request for Proposals: CSMP State Funds']","[2015, 2014, 2014, 2014]"
"Rempel, David","['ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization']","['Lift-Assist System to Reduce Spine Loading for Warehouse Work', 'Visual Symptoms Associated with Computer Monitor Use', 'Lift-Assist System to Reduce Spine Loading for Warehouse Work']","[2007, 2008, 2007]"
"Riley, Lee W","[""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', 'Public Health', 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", 'Public Health', 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", 'Public Health', 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', 'Public Health', 'Center for Emerging & Neglected Diseases', 'Center for Emerging & Neglected Diseases', 'Center for Emerging & Neglected Diseases', 'Center for Emerging & Neglected Diseases', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['Global Health Fellows and Scholars Research Training', 'Emerging Drug-Resistance Infections', 'Global Health Fellows and Scholars Research Training', 'Framework to Address Drug Resistant Infections and Global Health', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Emerging Drug-Resistance Infections', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Innovative Approaches for TB Control in Brazil', 'Innovative Approaches for TB Control in Brazil', 'Innovative Approaches for TB Control in Brazil', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Innovative Approaches for TB Control in Brazil', 'Global Health Fellows and Scholars Research Training', 'Innovative Approaches for TB Control in Brazil', 'Innovative Approaches for TB Control in Brazil', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Innovative Approaches for TB Control in Brazil', 'Global Health Fellows and Scholars Research Training', 'Innovative Approaches for TB Control in Brazil', 'Emerging Drug-Resistance Infections', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Emerging Drug-Resistance Infections', 'Innovative Approaches for TB Control in Brazil', 'Framework to Address Drug Resistant Infections and Global Health', 'Framework to Address Drug Resistant Infections and Global Health', 'Framework to Address Drug Resistant Infections and Global Health', 'Framework to Address Drug Resistant Infections and Global Health', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training', 'Global Health Fellows and Scholars Research Training']","[2012, 2008, 2012, 2010, 2012, 2012, 2012, 2008, 2012, 2012, 2012, 2012, 2012, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2010, 2012, 2010, 2010, 2012, 2012, 2010, 2012, 2010, 2008, 2012, 2012, 2008, 2010, 2010, 2010, 2010, 2010, 2012, 2012, 2012]"
"Robey, Ellen A","['Stem Cell Center', 'Stem Cell Center', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'Stem Cell Center', 'Stem Cell Center']","['Interdisciplinary Training in Stem Cell Biology, Engineering and Medicine', 'Interdisciplinary Training in Stem Cell Biology, Engineering and Medicine', 'Immunology and Pathogenesis Program Training Grant', 'Immunology and Pathogenesis Program Training Grant', 'Immunology and Pathogenesis Program Training Grant', 'Interdisciplinary Training in Stem Cell Biology, Engineering and Medicine', 'Interdisciplinary Training in Stem Cell Biology, Engineering and Medicine']","[2010, 2010, 2012, 2012, 2012, 2010, 2010]"
"Rokhsar, Daniel S",['MCB Molecular & Cell Biology'],['Genomics'],[2015]
"Romanowicz, Barbara A",['Berkeley Seismological Laboratory'],"['Deep Carbon Observatory Thematic Institute: “Carbon from the Mantle to the Surface""']",[2015]
"Roorda, Austin J",['Optometry Department'],['Adaptive Optics Scanning Laser Ophthalmoscope-based Microperimetry: Establishing the Functional Correlates of Photoreceptor Structure in Normal and Diseased Retinae'],[2012]
"Russell, Stuart J","['EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences', 'EECS Electrical Engineering & Computer Sciences']","['Graduate Assistance in Areas of National Need', 'Graduate Assistance in Areas of National Need', 'Graduate Assistance in Areas of National Need', 'Graduate Assistance in Areas of National Need']","[2007, 2007, 2007, 2007]"
"Sanders, Jerry","['IAS International & Area Studies', 'IAS International & Area Studies']","['The Shinnyo-en Foundation Service Learning Award', 'The Shinnyo-en Foundation Service Learning Award']","[2008, 2008]"
"Saxe, Geoffrey B","['Graduate Education', 'Graduate Education', 'Graduate Education']","['Post-doctoral Research Fellowships', 'Post-doctoral Research Fellowships', 'Post-doctoral Research Fellowships']","[2009, 2009, 2009]"
"Schaffer, David","['The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)']","['Stem Cell Engineering Training Program', 'Stem Cell Engineering Training Program', 'Stem Cell Engineering Training Program', 'Stem Cell Engineering Training Program']","[2011, 2011, 2011, 2011]"
"Scharlach, Andrew E","['Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare']","['Local Government Innovation Creating Aging-Friendly Communities: A Mixed Methods Triangulated Approach', 'Late Life Depressed Mood: Experience, Knowledge and Understanding', ""Retirees' Activity Pattern by Age, Cohort, and Gender and Factors Affecting Retirees' Activity Participation"", 'Application for Oncology Social Work Training at the Doctoral Level', 'Local Government Innovation Creating Aging-Friendly Communities: A Strategy for Aging in Place']","[2008, 2008, 2007, 2007, 2008]"
"Scheffler, Richard","['SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs']","['Research Training: Socio-Econmics of Mental Health Service Delivery in SE Europe', 'Research Training: Socio-Econmics of Mental Health Service Delivery in SE Europe', 'Research Training: Socio-Econmics of Mental Health Service Delivery in SE Europe', 'Research Training: Socio-Econmics of Mental Health Service Delivery in SE Europe']","[2011, 2011, 2011, 2011]"
"Schekman, Randy W","['MCB Molecular & Cell Biology', 'Dean, Biological Sciences', 'Dean, Biological Sciences']","['Genentech Predoc Fellows Program', 'UC Berkeley Genentech Minority Summer Research Program in the Biological Sciences', 'UC Berkeley Genentech Minority Summer Research Program in the Biological Sciences']","[2009, 2010, 2010]"
"Schwarzman, Megan","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health""]","['Curriculim Development in Green Chemistry', 'Curriculim Development in Green Chemistry', 'Greener Solutions: An Interdisciplinary Safer Design Partnership', 'Developing the Cal Green Chemistry Corps']","[2010, 2010, 2015, 2012]"
"Scott, Kristin E","['MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology']","['Taste and Smell Integration in Drosophila Melanogaster', 'Taste and Smell Integration in Drosophila Melanogaster', 'Taste and Smell Integration in Drosophila Melanogaster', 'Taste and Smell Integration in Drosophila Melanogaster']","[2007, 2007, 2007, 2007]"
"Sedlak, David L","['Civil & Environmental Engineering', 'Civil & Environmental Engineering', 'Civil & Environmental Engineering', 'Civil & Environmental Engineering']","[""REU Site: Re-Inventing America's Urban Water Infrastructure (Research Experiences for Undergraduate ReNUWit)"", ""REU Site: Re-Inventing America's Urban Water Infrastructure (Research Experiences for Undergraduate ReNUWit)"", ""REU Site: Re-Inventing America's Urban Water Infrastructure (Research Experiences for Undergraduate ReNUWit)"", ""REU Site: Re-Inventing America's Urban Water Infrastructure (Research Experiences for Undergraduate ReNUWit)""]","[2013, 2013, 2013, 2013]"
"Seshia, Sanjit A",['EECS Electrical Engineering & Computer Sciences'],['I-Corps: VeriSight CPS: Enhancing the Design and Operation of Cyber-Physical Systems with Verified Insight'],[2016]
"Shannon, Christina M",['Economics'],['Yahoo Fellowship - Key Technical Challenges Grants'],[2007]
"Shetty, Sudha","['Public Policy', 'Public Policy', 'Public Policy']","['Seeking Safety in America', 'Seeking Safety in America', 'Seeking Safety in America']","[2013, 2013, 2013]"
"Shortell, Stephen M","['Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', ""Dean's Office, Public Health"", 'Public Health', 'Public Health', ""Dean's Office, Public Health"", 'Public Health']","['UC Berkeley Health Services Research Training Program', 'Public Health Traineeship Program', 'Pacific Public Health Training Center', 'Pacific Public Health Training Center', 'Pacific Public Health Training Center', 'Public Health Traineeships', 'Public Health Traineeship Program', 'UC Berkeley Health Services Research Training Program', 'Public Health Traineeships', 'UC Berkeley Health Services Research Training Program']","[2013, 2009, 2008, 2008, 2007, 2012, 2009, 2013, 2012, 2013]"
"Silver, Nora","['Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Centers and Institutes', 'Haas Business (Department)', 'Haas Centers and Institutes', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Centers and Institutes', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)', 'Haas Business (Department)']","['Program Analyst for Children Families and Communities Program', 'Packard Program Analyst for Children, Families and Communities', 'Packard Program Analyst for Children, Families and Communities', 'Packard Senior Program Analyst for Local Grantmaking', 'Packard Foundation Program Fellow for Children, Families and Communities Program', 'Development and Offering of MBA Metrics Course', 'Packard Program Analysis for: Local Grantmaking', 'Program Analyst for Local Grantmaking', 'Berkeley Board Fellows Program 2014', 'Berkeley Board Fellows Program 2013', 'The Grant Supports the Berkeley Board Fellows Program, Which Provides Access to Nonprofit Boards of Directors to UC Berkeley Graduate Students', 'Packard Program Analysis for: Local Grantmaking', ""The Center for Nonprofit and Public Leadership's social impact mission"", ""Jason Goldman's 2011-2012 Annual Board Contribution"", 'Packard Program Analysis for: Local Grantmaking', 'Program Analyst for Local Grantmaking', 'Packard Program Analyst for Children, Families and Communities', 'Packard Program Analyst for Children, Families and Communities', 'Packard Foundation Program Fellow for Children, Families and Communities Program', 'Packard Program Analysis for: Local Grantmaking', 'Packard Program Analysis for: Local Grantmaking']","[2014, 2012, 2011, 2011, 2010, 2015, 2009, 2014, 2014, 2013, 2011, 2010, 2012, 2012, 2010, 2014, 2011, 2012, 2010, 2010, 2010]"
"Slaman, Theodore","['Mathematics', 'Mathematics']","['Simons Postdoctoral Fellowships', 'Simons Postdoctoral Fellowships']","[2010, 2010]"
"Slezkine, Yuri","['Institute of Slavic, East European, and Eurasian Studies', 'Institute of Slavic, East European, and Eurasian Studies']","['Carnegie Visiting Scholars Program in Field Development', 'Carnegie Visiting Scholars Program in Field Development']","[2011, 2011]"
"Smith, Allan H","['Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health']","['Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India', 'Research and Training Program in Environmental and Occupational Health, India']","[2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007]"
"Smith, Kirk R","[""Dean's Office, Public Health""]","['Technology Research, Development, and Tools for Clean Biomass Cookstoves']",[2013]
"Smith, Martyn T",['SPH Divisional Rsrch and Cntrs'],['Long-term Effects of Early-Life Arsenic Exposure on Immunity'],[2015]
